ad_id,reporting_start,reporting_end ,Campaign_Name ,campaign_id,fb_campaign_id,age,gender,interest,impressions,Clicks,Spent,Total_Conversion,,Approved_Conversion,Conversion rate,Revenue ,Likes ,Comments ,Shares ,CTR,ROI,Engagement Rate 
747220,18-08-2017,18-08-2017,Festive Offer Drive ,936,110837,30-34,M,29,2474,2,? 2.89,1,,0,0.00%,? 135.00,21,2,3,0.02%,0%,1.050929669
747222,18-08-2017,18-08-2017,Festive Offer Drive ,936,110838,30-34,M,15,12489,6,? 10.57,2,,1,50.00%,? 112.00,19,2,6,0.02%,561429%,0.216190247
747223,18-08-2017,18-08-2017,Festive Offer Drive ,936,110838,30-34,M,15,8032,2,? 3.20,2,,1,50.00%,? 288.00,12,14,5,0.01%,4790000%,0.385956175
747248,21-08-2017,21-08-2017,Festive Offer Drive ,936,110842,30-34,M,16,472,1,? 0.97,1,,0,0.00%,? 292.00,24,9,6,0.01%,0%,8.262711864
747332,21-08-2017,21-08-2017,Festive Offer Drive ,936,110856,30-34,M,16,792,3,? 4.37,1,,0,0.00%,? 279.00,25,20,2,0.01%,0%,5.934343434
747362,21-08-2017,21-08-2017,Festive Offer Drive ,936,110861,35-39,M,16,4607,1,? 0.57,1,,1,100.00%,? 239.00,13,10,4,0.01%,2068261%,0.586064684
747369,21-08-2017,21-08-2017,Festive Offer Drive ,936,110862,35-39,M,19,13355,1,? 1.81,1,,1,100.00%,? 147.00,19,14,6,0.03%,452264%,0.292025459
747370,20-08-2017,20-08-2017,Festive Offer Drive ,936,110862,35-39,M,16,2936,2,? 3.32,1,,0,0.00%,? 252.00,24,3,2,0.01%,0%,0.98773842
747401,21-08-2017,21-08-2017,Festive Offer Drive ,936,110867,35-39,M,10,2793,1,? 1.18,1,,1,100.00%,? 251.00,24,2,5,0.01%,2551224%,1.109917651
747435,21-08-2017,21-08-2017,Festive Offer Drive ,936,110873,35-39,M,10,1032,3,? 4.73,2,,1,50.00%,? 158.00,16,20,6,0.02%,0%,4.069767442
747439,21-08-2017,21-08-2017,Festive Offer Drive ,936,110874,35-39,M,10,1662,1,? 1.38,1,,1,100.00%,? 144.00,17,19,7,0.01%,0%,2.587244284
747489,21-08-2017,21-08-2017,Festive Offer Drive ,936,110882,40-44,M,23,4016,1,? 1.26,1,,0,0.00%,? 149.00,21,10,5,0.04%,996757%,0.896414343
747514,21-08-2017,21-08-2017,Festive Offer Drive ,936,110886,40-44,M,2,14843,2,? 3.05,1,,0,0.00%,? 237.00,11,12,9,0.05%,796122%,0.21558984
747645,21-08-2017,21-08-2017,Festive Offer Drive ,936,110908,45-49,M,20,9674,3,? 3.58,1,,1,100.00%,? 147.00,17,18,7,0.03%,309565%,0.434153401
747659,25-08-2017,25-08-2017,Festive Offer Drive ,936,110910,45-49,M,10,12186,4,? 6.28,1,,0,0.00%,? 129.00,25,11,6,0.03%,473146%,0.344657804
747675,25-08-2017,25-08-2017,Festive Offer Drive ,936,110913,45-49,M,18,673,1,? 1.21,1,,0,0.00%,? 259.00,24,2,7,0.01%,0%,4.903417533
747678,25-08-2017,25-08-2017,Festive Offer Drive ,936,110914,45-49,M,16,370,28,? 46.63,1,,0,0.00%,? 118.00,18,2,2,0.02%,0%,5.945945946
747712,24-08-2017,24-08-2017,Festive Offer Drive ,936,110919,45-49,M,16,450,20,? 34.44,1,,0,0.00%,? 221.00,13,14,5,0.02%,0%,7.111111111
747790,24-08-2017,24-08-2017,Festive Offer Drive ,936,110932,30-34,F,36,2077,1,? 1.29,1,,0,0.00%,? 217.00,16,2,4,0.04%,0%,1.059220029
747791,25-08-2017,25-08-2017,Festive Offer Drive ,936,110932,30-34,F,7,31393,6,? 9.22,1,,0,0.00%,? 241.00,13,9,6,0.04%,209891%,0.089191858
747795,25-08-2017,25-08-2017,Festive Offer Drive ,936,110933,30-34,F,63,8410,5,? 7.72,1,,0,0.00%,? 269.00,12,12,6,0.03%,1129831%,0.356718193
747798,25-08-2017,25-08-2017,Festive Offer Drive ,936,110934,30-34,F,10,25884,2,? 1.50,1,,1,100.00%,? 214.00,25,12,2,0.02%,281156%,0.15067223
747824,25-08-2017,25-08-2017,Festive Offer Drive ,936,110938,30-34,F,63,608,1,? 0.18,1,,1,100.00%,? 223.00,19,13,2,0.02%,0%,5.592105263
747828,25-08-2017,25-08-2017,Festive Offer Drive ,936,110939,30-34,F,27,28488,3,? 5.39,1,,1,100.00%,? 295.00,15,9,6,0.03%,305846%,0.105307498
747852,24-08-2017,24-08-2017,Festive Offer Drive ,936,110943,30-34,F,64,10126,4,? 5.78,1,,0,0.00%,? 227.00,22,1,3,0.03%,481342%,0.256764764
747859,24-08-2017,24-08-2017,Festive Offer Drive ,936,110944,30-34,F,65,22572,1,? 0.99,1,,1,100.00%,? 189.00,15,15,2,0.04%,212353%,0.141768563
747863,24-08-2017,24-08-2017,Festive Offer Drive ,936,110944,30-34,F,7,1955,1,? 1.28,1,,0,0.00%,? 206.00,17,6,7,0.03%,0%,1.534526854
747879,24-08-2017,24-08-2017,Festive Offer Drive ,936,110947,30-34,F,29,493,4,? 5.28,1,,1,100.00%,? 219.00,18,18,3,0.02%,0%,7.910750507
747903,24-08-2017,24-08-2017,Festive Offer Drive ,936,110951,30-34,F,24,1491,1,? 1.38,1,,0,0.00%,? 193.00,10,1,6,0.03%,0%,1.14017438
747911,24-08-2017,24-08-2017,Festive Offer Drive ,936,110952,30-34,F,24,1495,1,? 1.05,1,,1,100.00%,? 274.00,17,19,6,0.03%,0%,2.809364548
747968,24-08-2017,24-08-2017,Festive Offer Drive ,936,110962,35-39,F,26,512,1,? 1.34,1,,1,100.00%,? 212.00,19,19,4,0.03%,0%,8.203125
747991,24-08-2017,24-08-2017,Festive Offer Drive ,936,110966,35-39,F,19,4868,7,? 10.43,2,,0,0.00%,? 199.00,13,9,7,0.04%,812314%,0.595727198
748000,24-08-2017,24-08-2017,Festive Offer Drive ,936,110967,35-39,F,29,6585,5,? 6.10,1,,0,0.00%,? 144.00,19,12,2,0.03%,478136%,0.501138952
748007,24-08-2017,24-08-2017,Festive Offer Drive ,936,110968,35-39,F,16,10164,12,? 19.66,3,,0,0.00%,? 232.00,14,10,4,0.02%,613656%,0.275482094
748014,24-08-2017,24-08-2017,Festive Offer Drive ,936,110970,35-39,F,16,11182,33,? 56.19,2,,0,0.00%,? 142.00,24,4,6,0.02%,309101%,0.304060097
748045,25-08-2017,25-08-2017,Festive Offer Drive ,936,110975,35-39,F,16,1238,4,? 6.03,1,,0,0.00%,? 219.00,21,9,8,0.02%,0%,3.069466882
748086,25-08-2017,25-08-2017,Festive Offer Drive ,936,110982,40-44,F,64,34127,1,? 1.83,1,,1,100.00%,? 246.00,12,5,4,0.02%,178217%,0.061534855
748087,26-08-2017,26-08-2017,Festive Offer Drive ,936,110982,40-44,F,19,29466,1,? 0.96,2,,0,0.00%,? 173.00,25,18,5,0.02%,149447%,0.162899613
748089,26-08-2017,26-08-2017,Festive Offer Drive ,936,110982,40-44,F,18,38759,3,? 2.62,3,,0,0.00%,? 151.00,24,8,4,0.02%,129171%,0.092881653
748091,26-08-2017,26-08-2017,Festive Offer Drive ,936,110982,40-44,F,20,41720,1,? 1.36,1,,0,0.00%,? 213.00,24,13,6,0.02%,166617%,0.103068073
748225,26-08-2017,26-08-2017,Festive Offer Drive ,936,111005,45-49,F,27,18602,4,? 6.05,1,,0,0.00%,? 189.00,21,14,7,0.03%,203318%,0.225782174
748230,26-08-2017,26-08-2017,Festive Offer Drive ,936,111006,45-49,F,27,83929,12,? 19.88,2,,0,0.00%,? 107.00,12,10,6,0.02%,28586%,0.033361532
748231,27-08-2017,27-08-2017,Festive Offer Drive ,936,111006,45-49,F,26,25194,3,? 4.53,1,,1,100.00%,? 233.00,15,6,3,0.03%,307007%,0.095260776
748233,27-08-2017,27-08-2017,Festive Offer Drive ,936,111006,45-49,F,26,78627,5,? 6.78,1,,0,0.00%,? 258.00,16,16,7,0.03%,87248%,0.049601282
748235,26-08-2017,26-08-2017,Festive Offer Drive ,936,111006,45-49,F,29,102695,2,? 3.09,1,,1,100.00%,? 186.00,25,20,3,0.02%,37172%,0.046740348
748294,26-08-2017,26-08-2017,Festive Offer Drive ,936,111016,45-49,F,28,82827,2,? 3.14,1,,0,0.00%,? 221.00,11,8,3,0.02%,36109%,0.026561387
748295,26-08-2017,26-08-2017,Festive Offer Drive ,936,111016,45-49,F,28,9240,6,? 7.54,2,,1,50.00%,? 222.00,16,6,8,0.03%,357550%,0.324675325
748303,25-08-2017,25-08-2017,Festive Offer Drive ,936,111018,45-49,F,27,7706,1,? 0.99,1,,0,0.00%,? 223.00,11,10,7,0.01%,930928%,0.363353231
748314,25-08-2017,25-08-2017,Festive Offer Drive ,936,111020,45-49,F,27,7821,19,? 34.15,1,,0,0.00%,? 274.00,15,13,7,0.03%,422177%,0.447513106
748341,25-08-2017,25-08-2017,Festive Offer Drive ,936,111024,45-49,F,20,1363,2,? 3.09,1,,0,0.00%,? 181.00,24,2,2,0.03%,0%,2.054292003
776318,25-08-2017,25-08-2017,Festive Offer Drive ,936,115484,45-49,F,20,3569,4,? 3.96,1,,0,0.00%,? 132.00,13,3,9,0.03%,0%,0.700476324
776322,25-08-2017,25-08-2017,Festive Offer Drive ,936,115485,45-49,F,29,119063,2,? 2.65,1,,1,100.00%,? 262.00,22,17,2,0.02%,39230%,0.034435551
776323,26-08-2017,26-08-2017,Festive Offer Drive ,936,115485,45-49,F,18,99078,5,? 8.18,1,,0,0.00%,? 152.00,20,18,4,0.02%,32458%,0.042390844
776325,26-08-2017,26-08-2017,Festive Offer Drive ,936,115485,45-49,F,32,452398,4,? 4.13,1,,1,100.00%,? 142.00,15,16,8,0.04%,-2121%,0.008620728
776334,26-08-2017,26-08-2017,Festive Offer Drive ,936,115487,45-49,F,22,191223,4,? 5.39,1,,0,0.00%,? 205.00,22,14,2,0.04%,16829%,0.019872087
776336,26-08-2017,26-08-2017,Festive Offer Drive ,936,115487,45-49,F,29,22216,1,? 0.72,1,,1,100.00%,? 213.00,20,3,6,0.01%,213037%,0.13053655
776338,23-08-2017,23-08-2017,Festive Offer Drive ,936,115487,45-49,F,28,48291,1,? 1.68,1,,1,100.00%,? 138.00,21,17,2,0.01%,66582%,0.082831169
776353,23-08-2017,23-08-2017,Festive Offer Drive ,936,115490,40-44,F,64,27559,14,? 19.10,1,,0,0.00%,? 289.00,15,12,6,0.03%,206156%,0.119743097
776373,21-08-2017,21-08-2017,Festive Offer Drive ,936,115493,45-49,F,27,10194,2,? 3.58,1,,1,100.00%,? 201.00,14,4,4,0.03%,427908%,0.215813223
776383,21-08-2017,21-08-2017,Festive Offer Drive ,936,115495,45-49,F,63,1168,1,? 1.58,1,,0,0.00%,? 118.00,24,7,2,0.02%,0%,2.825342466
776405,21-08-2017,21-08-2017,Festive Offer Drive ,936,115498,45-49,F,26,40126,2,? 2.75,1,,1,100.00%,? 175.00,14,5,9,0.03%,57672%,0.069780192
776416,21-08-2017,21-08-2017,Festive Offer Drive ,936,115500,45-49,F,27,3659,25,? 41.29,1,,0,0.00%,? 248.00,20,20,2,0.02%,5051224%,1.147854605
776430,22-08-2017,22-08-2017,Festive Offer Drive ,936,115503,30-34,M,30,3200,7,? 9.41,1,,0,0.00%,? 201.00,13,9,5,0.05%,0%,0.84375
776464,22-08-2017,22-08-2017,Festive Offer Drive ,936,115508,45-49,F,64,7550,9,? 13.41,1,,0,0.00%,? 295.00,21,13,9,0.03%,1745952%,0.569536424
776469,22-08-2017,22-08-2017,Festive Offer Drive ,936,115509,45-49,F,64,45397,1,? 0.95,1,,0,0.00%,? 193.00,21,9,2,0.02%,65924%,0.070489239
776473,22-08-2017,22-08-2017,Festive Offer Drive ,936,115510,30-34,M,10,23086,24,? 32.29,1,,0,0.00%,? 293.00,21,6,7,0.03%,875196%,0.147275405
776475,21-08-2017,21-08-2017,Festive Offer Drive ,936,115510,30-34,M,15,16425,2,? 1.73,1,,1,100.00%,? 285.00,24,1,2,0.03%,1828710%,0.164383562
776476,21-08-2017,21-08-2017,Festive Offer Drive ,936,115510,30-34,M,15,43756,1,? 0.89,2,,0,0.00%,? 153.00,16,9,4,0.01%,271250%,0.066276625
776477,21-08-2017,21-08-2017,Festive Offer Drive ,936,115510,30-34,M,16,9982,1,? 1.38,1,,0,0.00%,? 296.00,22,2,8,0.01%,0%,0.320577039
776489,21-08-2017,21-08-2017,Festive Offer Drive ,936,115512,45-49,F,16,175389,8,? 10.23,2,,1,50.00%,? 294.00,24,17,2,0.02%,26025%,0.024516931
776494,21-08-2017,21-08-2017,Festive Offer Drive ,936,115513,30-34,M,16,7015,3,? 4.43,1,,0,0.00%,? 229.00,15,20,6,0.01%,0%,0.584461867
776515,21-08-2017,21-08-2017,Festive Offer Drive ,936,115517,45-49,F,29,12706,4,? 3.83,1,,0,0.00%,? 192.00,12,7,5,0.02%,374770%,0.18888714
776519,21-08-2017,21-08-2017,Festive Offer Drive ,936,115517,45-49,F,29,70702,1,? 1.11,1,,0,0.00%,? 100.00,11,13,3,0.01%,21536%,0.038188453
776533,21-08-2017,21-08-2017,Festive Offer Drive ,936,115520,45-49,F,28,63927,4,? 5.35,1,,0,0.00%,? 111.00,13,1,9,0.03%,33495%,0.035978538
776534,21-08-2017,21-08-2017,Festive Offer Drive ,936,115520,45-49,F,10,15105,3,? 3.95,1,,1,100.00%,? 104.00,21,12,9,0.03%,234131%,0.278053625
776538,21-08-2017,21-08-2017,Festive Offer Drive ,936,115521,30-34,F,7,8774,3,? 4.02,1,,0,0.00%,? 270.00,13,12,3,0.03%,1465410%,0.319124687
776551,21-08-2017,21-08-2017,Festive Offer Drive ,936,115523,30-34,F,32,14459,1,? 1.33,1,,1,100.00%,? 223.00,10,17,7,0.02%,1594317%,0.235147659
776552,22-08-2017,22-08-2017,Festive Offer Drive ,936,115523,30-34,F,18,21596,2,? 3.09,1,,0,0.00%,? 259.00,17,16,9,0.02%,911708%,0.194480459
776553,22-08-2017,22-08-2017,Festive Offer Drive ,936,115523,30-34,F,18,66765,1,? 1.42,1,,1,100.00%,? 146.00,16,2,7,0.02%,122127%,0.037444769
776563,23-08-2017,23-08-2017,Festive Offer Drive ,936,115525,30-34,F,16,1369,4,? 6.02,1,,0,0.00%,? 175.00,18,17,5,0.02%,0%,2.92184076
776579,23-08-2017,23-08-2017,Festive Offer Drive ,936,115527,30-34,F,25,26910,1,? 1.23,1,,1,100.00%,? 157.00,20,15,9,0.02%,207151%,0.16350799
776603,23-08-2017,23-08-2017,Festive Offer Drive ,936,115531,30-34,F,29,506,56,? 77.08,3,,0,0.00%,? 286.00,11,17,4,0.03%,0%,6.324110672
776615,23-08-2017,23-08-2017,Festive Offer Drive ,936,115533,45-49,M,29,11988,7,? 9.33,1,,0,0.00%,? 205.00,12,10,3,0.03%,470094%,0.208541875
776623,23-08-2017,23-08-2017,Festive Offer Drive ,936,115535,45-49,M,64,19353,3,? 4.09,1,,0,0.00%,? 268.00,23,18,4,0.02%,272700%,0.23252209
776631,23-08-2017,23-08-2017,Festive Offer Drive ,936,115536,40-44,M,63,10960,1,? 1.37,2,,1,50.00%,? 152.00,14,12,7,0.02%,515952%,0.301094891
776643,23-08-2017,23-08-2017,Festive Offer Drive ,936,115538,30-34,M,29,33491,1,? 1.38,1,,1,100.00%,? 212.00,12,10,9,0.01%,190568%,0.092562181
776644,23-08-2017,23-08-2017,Festive Offer Drive ,936,115538,30-34,M,29,20083,4,? 5.91,1,,1,100.00%,? 295.00,11,10,5,0.02%,911875%,0.12946273
776659,23-08-2017,23-08-2017,Festive Offer Drive ,936,115541,30-34,M,18,8817,5,? 6.91,1,,0,0.00%,? 166.00,19,17,7,0.03%,0%,0.487694227
776661,23-08-2017,23-08-2017,Festive Offer Drive ,936,115541,30-34,M,22,15466,7,? 9.54,1,,0,0.00%,? 221.00,22,4,6,0.03%,2268350%,0.20690547
776662,22-08-2017,22-08-2017,Festive Offer Drive ,936,115541,30-34,M,22,27072,13,? 17.30,2,,0,0.00%,? 128.00,13,1,9,0.03%,282906%,0.084958629
776663,22-08-2017,22-08-2017,Festive Offer Drive ,936,115541,30-34,M,23,15753,2,? 1.31,1,,0,0.00%,? 145.00,25,11,8,0.03%,2533860%,0.279311877
776668,22-08-2017,22-08-2017,Festive Offer Drive ,936,115542,40-44,M,16,3523,3,? 4.08,1,,1,100.00%,? 135.00,23,4,3,0.02%,735856%,0.851546977
776685,22-08-2017,22-08-2017,Festive Offer Drive ,936,115545,40-44,M,16,7745,12,? 17.93,1,,1,100.00%,? 211.00,20,1,8,0.02%,0%,0.374435119
776686,22-08-2017,22-08-2017,Festive Offer Drive ,936,115545,40-44,M,21,18709,1,? 1.22,1,,0,0.00%,? 136.00,23,1,8,0.02%,399639%,0.171040676
776687,23-08-2017,23-08-2017,Festive Offer Drive ,936,115545,40-44,M,32,8022,3,? 4.57,1,,1,100.00%,? 211.00,25,7,9,0.04%,0%,0.51109449
776696,22-08-2017,22-08-2017,Festive Offer Drive ,936,115547,30-34,M,22,7966,2,? 2.27,1,,0,0.00%,? 269.00,12,6,7,0.04%,2269661%,0.313833794
776697,22-08-2017,22-08-2017,Festive Offer Drive ,936,115547,30-34,M,18,4132,1,? 1.03,1,,0,0.00%,? 239.00,20,10,6,0.02%,0%,0.87124879
776698,22-08-2017,22-08-2017,Festive Offer Drive ,936,115547,30-34,M,10,12785,26,? 36.13,1,,0,0.00%,? 183.00,13,2,5,0.03%,376892%,0.15643332
776699,27-08-2017,27-08-2017,Festive Offer Drive ,936,115547,30-34,M,10,8213,1,? 1.37,1,,0,0.00%,? 284.00,18,7,2,0.02%,2047971%,0.328747108
776722,27-08-2017,27-08-2017,Festive Offer Drive ,936,115551,30-34,M,15,545,1,? 1.54,1,,0,0.00%,? 250.00,22,6,4,0.02%,0%,5.871559633
776725,22-08-2017,22-08-2017,Festive Offer Drive ,936,115552,40-44,M,16,2479,41,? 59.07,1,,0,0.00%,? 239.00,17,18,6,0.03%,1886825%,1.653892699
776780,22-08-2017,22-08-2017,Festive Offer Drive ,936,115561,40-44,M,63,3812,6,? 7.81,1,,0,0.00%,? 206.00,23,11,7,0.03%,665410%,1.075550892
776793,22-08-2017,22-08-2017,Festive Offer Drive ,936,115563,45-49,M,27,1609,20,? 28.50,1,,0,0.00%,? 141.00,14,3,2,0.03%,0%,1.180857676
776799,22-08-2017,22-08-2017,Festive Offer Drive ,936,115564,45-49,M,27,10257,7,? 10.08,1,,0,0.00%,? 300.00,18,15,4,0.04%,827989%,0.360729258
776817,22-08-2017,22-08-2017,Festive Offer Drive ,936,115567,40-44,M,29,12356,49,? 67.98,2,,1,50.00%,? 140.00,25,8,4,0.03%,212930%,0.29944966
776825,23-08-2017,23-08-2017,Festive Offer Drive ,936,115568,45-49,M,10,7410,1,? 1.64,1,,1,100.00%,? 133.00,12,5,7,0.01%,1089174%,0.32388664
776829,23-08-2017,23-08-2017,Festive Offer Drive ,936,115569,45-49,M,10,140098,1,? 0.53,1,,0,0.00%,? 275.00,17,20,8,0.02%,48975%,0.032120373
776831,22-08-2017,22-08-2017,Festive Offer Drive ,936,115569,45-49,M,15,107021,1,? 1.37,1,,0,0.00%,? 251.00,12,7,6,0.02%,62880%,0.023359901
776840,22-08-2017,22-08-2017,Festive Offer Drive ,936,115571,35-39,M,63,2797,1,? 1.44,1,,0,0.00%,? 263.00,23,16,7,0.02%,2028760%,1.644619235
776861,22-08-2017,22-08-2017,Festive Offer Drive ,936,115574,45-49,M,20,16461,3,? 3.92,1,,0,0.00%,? 189.00,11,20,4,0.04%,194989%,0.212623777
776892,30-08-2017,30-08-2017,Festive Offer Drive ,936,115580,40-44,M,26,17488,38,? 49.44,1,,0,0.00%,? 140.00,24,12,7,0.03%,171347%,0.245882891
776928,30-08-2017,30-08-2017,Festive Offer Drive ,936,115586,35-39,M,16,9750,1,? 1.23,1,,1,100.00%,? 211.00,17,17,5,0.01%,1396667%,0.4
776935,30-08-2017,30-08-2017,Festive Offer Drive ,936,115587,45-49,M,20,1136,3,? 4.18,2,,0,0.00%,? 258.00,22,1,6,0.03%,0%,2.552816901
777105,30-08-2017,30-08-2017,Festive Offer Drive ,936,115615,45-49,M,20,4333,1,? 1.44,1,,1,100.00%,? 279.00,14,18,9,0.03%,15489999%,0.946226633
777130,30-08-2017,30-08-2017,Festive Offer Drive ,936,115619,35-39,M,18,6260,1,? 1.33,1,,0,0.00%,? 144.00,18,15,3,0.02%,0%,0.575079872
777131,22-08-2017,22-08-2017,Festive Offer Drive ,936,115619,35-39,M,24,6359,3,? 3.75,1,,0,0.00%,? 255.00,21,9,9,0.03%,0%,0.613303979
777166,30-08-2017,30-08-2017,Festive Offer Drive ,936,115625,30-34,M,24,2383,2,? 2.73,1,,1,100.00%,? 106.00,16,15,7,0.04%,0%,1.594628619
777187,30-08-2017,30-08-2017,Festive Offer Drive ,936,115629,40-44,M,18,11292,2,? 2.32,1,,1,100.00%,? 125.00,13,10,6,0.02%,221911%,0.256818987
777198,30-08-2017,30-08-2017,Festive Offer Drive ,936,115631,30-34,M,18,12729,1,? 1.32,1,,0,0.00%,? 207.00,23,2,3,0.02%,348131%,0.219970147
777200,23-08-2017,23-08-2017,Festive Offer Drive ,936,115631,30-34,M,16,1898,5,? 6.17,1,,1,100.00%,? 266.00,17,1,9,0.01%,0%,1.422550053
777201,23-08-2017,23-08-2017,Festive Offer Drive ,936,115631,30-34,M,16,1882,4,? 4.94,2,,1,50.00%,? 166.00,14,10,9,0.02%,0%,1.753453773
777235,24-08-2017,24-08-2017,Festive Offer Drive ,936,115637,30-34,M,63,2883,5,? 6.34,1,,1,100.00%,? 166.00,25,8,9,0.04%,1666768%,1.456815817
777248,24-08-2017,24-08-2017,Festive Offer Drive ,936,115639,30-34,F,28,3989,1,? 0.86,1,,0,0.00%,? 271.00,17,8,4,0.02%,2107188%,0.726999248
777261,24-08-2017,24-08-2017,Festive Offer Drive ,936,115641,40-44,M,29,19603,1,? 1.35,1,,0,0.00%,? 107.00,19,5,9,0.02%,192652%,0.16834158
777382,25-08-2017,25-08-2017,Festive Offer Drive ,936,115675,40-44,M,16,3047,29,? 39.25,1,,1,100.00%,? 115.00,20,6,4,0.03%,823333%,0.984574992
777398,25-08-2017,25-08-2017,Festive Offer Drive ,936,115677,35-39,M,10,3029,11,? 12.51,1,,0,0.00%,? 230.00,14,16,6,0.03%,2180476%,1.18851106
777410,25-08-2017,25-08-2017,Festive Offer Drive ,936,115679,45-49,M,28,3490,3,? 4.08,1,,0,0.00%,? 101.00,23,18,8,0.04%,743731%,1.404011461
777482,25-08-2017,25-08-2017,Festive Offer Drive ,936,115691,45-49,M,27,2479,3,? 4.55,1,,0,0.00%,? 224.00,11,2,6,0.03%,0%,0.76643808
777495,25-08-2017,25-08-2017,Festive Offer Drive ,936,115693,40-44,M,29,19581,7,? 8.91,2,,2,100.00%,? 298.00,22,1,6,0.02%,275714%,0.148102753
777519,24-08-2017,24-08-2017,Festive Offer Drive ,936,115697,45-49,M,26,19537,1,? 1.61,1,,0,0.00%,? 193.00,12,14,2,0.02%,306393%,0.143317807
777625,24-08-2017,24-08-2017,Festive Offer Drive ,936,115715,45-49,M,10,59433,3,? 4.30,1,,0,0.00%,? 184.00,24,2,3,0.03%,83591%,0.048794441
777627,23-08-2017,23-08-2017,Festive Offer Drive ,936,115715,45-49,M,10,157534,3,? 2.87,1,,0,0.00%,? 100.00,23,10,7,0.03%,7797%,0.025391344
777638,23-08-2017,23-08-2017,Festive Offer Drive ,936,115717,40-44,M,64,1781,1,? 1.56,1,,1,100.00%,? 300.00,21,19,9,0.02%,0%,2.751263335
777670,23-08-2017,23-08-2017,Festive Offer Drive ,936,115723,40-44,M,10,23769,1,? 1.57,1,,0,0.00%,? 231.00,10,18,4,0.03%,373085%,0.134629139
777673,23-08-2017,23-08-2017,Festive Offer Drive ,936,115723,40-44,M,16,7101,2,? 3.21,2,,1,50.00%,? 147.00,14,14,2,0.02%,0%,0.422475708
777742,23-08-2017,23-08-2017,Festive Offer Drive ,936,115735,35-39,M,16,4726,1,? 1.38,1,,0,0.00%,? 270.00,16,18,2,0.01%,1465410%,0.761743546
777758,24-08-2017,24-08-2017,Festive Offer Drive ,936,115737,30-34,M,20,5209,2,? 2.84,1,,1,100.00%,? 172.00,25,20,6,0.08%,1781667%,0.979074678
777794,24-08-2017,24-08-2017,Festive Offer Drive ,936,115743,30-34,M,16,13473,1,? 1.32,2,,0,0.00%,? 248.00,16,12,2,0.02%,936565%,0.222667557
777816,23-08-2017,23-08-2017,Festive Offer Drive ,936,115747,40-44,M,16,500,1,? 1.52,1,,0,0.00%,? 127.00,15,19,7,0.02%,0%,8.2
777871,23-08-2017,23-08-2017,Festive Offer Drive ,936,115756,30-34,M,21,4616,1,? 0.98,1,,0,0.00%,? 297.00,24,2,4,0.05%,2173824%,0.649913345
777904,30-08-2017,30-08-2017,Festive Offer Drive ,936,115762,30-34,M,36,3279,1,? 1.41,1,,0,0.00%,? 107.00,17,12,8,0.05%,0%,1.128392803
777905,30-08-2017,30-08-2017,Festive Offer Drive ,936,115762,30-34,M,28,3288,3,? 4.33,2,,2,100.00%,? 112.00,19,17,6,0.04%,0%,1.277372263
778037,28-08-2017,28-08-2017,Festive Offer Drive ,936,115784,35-39,M,28,14615,1,? 1.07,1,,0,0.00%,? 123.00,12,10,8,0.04%,193306%,0.20526856
778048,28-08-2017,28-08-2017,Festive Offer Drive ,936,115786,30-34,M,10,56615,1,? 1.50,1,,1,100.00%,? 102.00,10,9,2,0.03%,41308%,0.037092643
778085,28-08-2017,28-08-2017,Festive Offer Drive ,936,115792,30-34,M,10,11735,1,? 1.23,1,,0,0.00%,? 151.00,24,2,3,0.02%,323333%,0.247123988
778087,28-08-2017,28-08-2017,Festive Offer Drive ,936,115792,30-34,M,16,15910,4,? 4.66,4,,1,25.00%,? 229.00,18,17,2,0.02%,327758%,0.23255814
778112,28-08-2017,28-08-2017,Festive Offer Drive ,936,115796,35-39,M,16,11446,1,? 1.54,1,,1,100.00%,? 208.00,25,4,7,0.02%,663139%,0.314520356
778113,28-08-2017,28-08-2017,Festive Offer Drive ,936,115796,35-39,M,16,4595,2,? 2.72,2,,0,0.00%,? 159.00,13,4,2,0.02%,0%,0.413492927
778124,28-08-2017,28-08-2017,Festive Offer Drive ,936,115798,30-34,M,26,4871,3,? 4.29,2,,1,50.00%,? 259.00,24,10,7,0.06%,0%,0.84171628
778148,28-08-2017,28-08-2017,Festive Offer Drive ,936,115802,35-39,M,22,3199,2,? 3.25,1,,1,100.00%,? 201.00,11,7,4,0.04%,0%,0.687714911
778156,28-08-2017,28-08-2017,Festive Offer Drive ,936,115804,30-34,M,16,9388,1,? 1.58,1,,1,100.00%,? 255.00,13,7,3,0.02%,802102%,0.244993609
778161,27-08-2017,27-08-2017,Festive Offer Drive ,936,115804,30-34,M,16,17954,2,? 2.62,2,,1,50.00%,? 219.00,13,9,3,0.02%,280451%,0.139244737
778208,27-08-2017,27-08-2017,Festive Offer Drive ,936,115812,40-44,F,64,2755,1,? 1.54,1,,0,0.00%,? 195.00,11,17,6,0.03%,0%,1.234119782
778264,27-08-2017,27-08-2017,Festive Offer Drive ,936,115822,40-44,F,28,8152,1,? 1.59,2,,2,100.00%,? 293.00,20,2,6,0.04%,2949596%,0.343473994
778266,27-08-2017,27-08-2017,Festive Offer Drive ,936,115822,40-44,F,28,74542,1,? 1.39,1,,0,0.00%,? 260.00,10,8,2,0.04%,66135%,0.026830512
778421,27-08-2017,27-08-2017,Festive Offer Drive ,936,115848,40-44,F,10,6699,9,? 12.39,2,,0,0.00%,? 151.00,25,18,5,0.04%,478673%,0.716524854
